Month,Year,Region,Births
January,1908,Indiana (statewide),4456
February,1908,Indiana (statewide),4468
March,1908,Indiana (statewide),4915
April,1908,Indiana (statewide),4417
May,1908,Indiana (statewide),4446
June,1908,Indiana (statewide),4173
July,1908,Indiana (statewide),4649
August,1908,Indiana (statewide),4919
September,1908,Indiana (statewide),4580
October,1908,Indiana (statewide),4146
November,1908,Indiana (statewide),4073
December,1908,Indiana (statewide),4161
January,1909,Indiana (statewide),4555
February,1909,Indiana (statewide),4352
March,1909,Indiana (statewide),4628
April,1909,Indiana (statewide),4163
May,1909,Indiana (statewide),4191
June,1909,Indiana (statewide),4161
July,1909,Indiana (statewide),4318
August,1909,Indiana (statewide),4714
September,1909,Indiana (statewide),4361
October,1909,Indiana (statewide),4340
November,1909,Indiana (statewide),4105
December,1909,Indiana (statewide),4220
January,1910,Indiana (statewide),4526
February,1910,Indiana (statewide),4371
March,1910,Indiana (statewide),4902
April,1910,Indiana (statewide),4332
May,1910,Indiana (statewide),4203
June,1910,Indiana (statewide),4267
July,1910,Indiana (statewide),4695
August,1910,Indiana (statewide),4772
September,1910,Indiana (statewide),4728
October,1910,Indiana (statewide),4456
November,1910,Indiana (statewide),4233
December,1910,Indiana (statewide),4332
January,1911,Indiana (statewide),4578
February,1911,Indiana (statewide),4365
March,1911,Indiana (statewide),4901
April,1911,Indiana (statewide),4268
May,1911,Indiana (statewide),4570
June,1911,Indiana (statewide),4443
July,1911,Indiana (statewide),4730
August,1911,Indiana (statewide),5051
September,1911,Indiana (statewide),4886
October,1911,Indiana (statewide),4626
November,1911,Indiana (statewide),4405
December,1911,Indiana (statewide),4540
January,1912,Indiana (statewide),4254
February,1912,Indiana (statewide),4053
March,1912,Indiana (statewide),4137
April,1912,Indiana (statewide),3729
May,1912,Indiana (statewide),4211
June,1912,Indiana (statewide),4114
July,1912,Indiana (statewide),4653
August,1912,Indiana (statewide),4795
September,1912,Indiana (statewide),4517
October,1912,Indiana (statewide),4313
November,1912,Indiana (statewide),3984
December,1912,Indiana (statewide),4154
January,1913,Indiana (statewide),4545
February,1913,Indiana (statewide),4342
March,1913,Indiana (statewide),4935
April,1913,Indiana (statewide),4328
May,1913,Indiana (statewide),4433
June,1913,Indiana (statewide),4196
July,1913,Indiana (statewide),4645
July,1913,Northern counties,1620
July,1913,Central counties,1916
July,1913,Southern counties,1107
August,1913,Indiana (statewide),4737
September,1913,Indiana (statewide),4747
September,1913,Northern counties,1572
September,1913,Central counties,1927
September,1913,Southern counties,1248
October,1913,Indiana (statewide),4649
October,1913,Northern counties,1615
October,1913,Central counties,1851
October,1913,Southern counties,1183
November,1913,Indiana (statewide),4525
November,1913,Northern counties,1669
November,1913,Central counties,1720
November,1913,Southern counties,1136
December,1913,Indiana (statewide),4600
December,1913,Northern counties,1706
December,1913,Central counties,1780
December,1913,Southern counties,1114
January,1914,Indiana (statewide),4801
January,1914,Northern counties,1725
January,1914,Central counties,1919
January,1914,Southern counties,1157
February,1914,Indiana (statewide),4796
February,1914,Northern counties,1781
February,1914,Central counties,1921
February,1914,Southern counties,1094
March,1914,Indiana (statewide),5198
March,1914,Northern counties,2033
March,1914,Central counties,1968
March,1914,Southern counties,1197
April,1914,Indiana (statewide),4410
April,1914,Northern counties,1758
April,1914,Central counties,1680
April,1914,Southern counties,972
May,1914,Indiana (statewide),4668
May,1914,Northern counties,1791
May,1914,Central counties,1777
May,1914,Southern counties,1100
June,1914,Indiana (statewide),4790
June,1914,Northern counties,1802
June,1914,Central counties,1922
June,1914,Southern counties,1066
July,1914,Indiana (statewide),5277
July,1914,Northern counties,2030
July,1914,Central counties,2031
July,1914,Southern counties,1216
August,1914,Indiana (statewide),5310
August,1914,Northern counties,2104
August,1914,Central counties,2019
August,1914,Southern counties,1187
September,1914,Indiana (statewide),5282
September,1914,Northern counties,1927
September,1914,Central counties,2065
September,1914,Southern counties,1290
October,1914,Indiana (statewide),4988
October,1914,Northern counties,1931
October,1914,Central counties,1860
October,1914,Southern counties,1197
November,1914,Indiana (statewide),4676
November,1914,Northern counties,1752
November,1914,Central counties,1793
November,1914,Southern counties,1131
December,1914,Indiana (statewide),4641
December,1914,Northern counties,1806
December,1914,Central counties,1741
December,1914,Southern counties,1094
January,1915,Indiana (statewide),5094
January,1915,Northern counties,1899
January,1915,Central counties,1972
January,1915,Southern counties,1223
February,1915,Indiana (statewide),4738
February,1915,Northern counties,1822
February,1915,Central counties,1752
February,1915,Southern counties,1164
March,1915,Indiana (statewide),5070
March,1915,Northern counties,1947
March,1915,Central counties,1894
March,1915,Southern counties,1229
April,1915,Indiana (statewide),4608
April,1915,Northern counties,1808
April,1915,Central counties,1772
April,1915,Southern counties,1028
May,1915,Indiana (statewide),4737
May,1915,Northern counties,1802
May,1915,Central counties,1833
May,1915,Southern counties,1102
June,1915,Indiana (statewide),4945
June,1915,Northern counties,1786
June,1915,Central counties,1924
June,1915,Southern counties,1235
July,1915,Indiana (statewide),5177
July,1915,Northern counties,1914
July,1915,Central counties,2045
July,1915,Southern counties,1218
August,1915,Indiana (statewide),5161
August,1915,Northern counties,1899
August,1915,Central counties,1988
August,1915,Southern counties,1272
September,1915,Indiana (statewide),5179
September,1915,Northern counties,1966
September,1915,Central counties,1931
September,1915,Southern counties,1282
October,1915,Indiana (statewide),5091
October,1915,Northern counties,1906
October,1915,Central counties,1926
October,1915,Southern counties,1259
November,1915,Indiana (statewide),4743
November,1915,Northern counties,1787
November,1915,Central counties,1807
November,1915,Southern counties,1149
December,1915,Indiana (statewide),4783
December,1915,Northern counties,1814
December,1915,Central counties,1815
December,1915,Southern counties,1154
January,1916,Indiana (statewide),5375
January,1916,Northern counties,2081
January,1916,Central counties,1967
January,1916,Southern counties,1298
February,1916,Indiana (statewide),5186
February,1916,Northern counties,1944
February,1916,Central counties,1997
February,1916,Southern counties,1245
March,1916,Indiana (statewide),5416
March,1916,Northern counties,2130
March,1916,Central counties,1955
March,1916,Southern counties,1331
April,1916,Indiana (statewide),5185
April,1916,Northern counties,2047
April,1916,Central counties,2015
April,1916,Southern counties,1123
May,1916,Indiana (statewide),5088
May,1916,Northern counties,2005
May,1916,Central counties,1999
May,1916,Southern counties,1084
June,1916,Indiana (statewide),4778
June,1916,Northern counties,1863
June,1916,Central counties,1843
June,1916,Southern counties,1072
July,1916,Indiana (statewide),5097
July,1916,Northern counties,1981
July,1916,Central counties,2057
July,1916,Southern counties,1051
August,1916,Indiana (statewide),5258
August,1916,Northern counties,2005
August,1916,Central counties,2044
August,1916,Southern counties,1209
September,1916,Indiana (statewide),5054
September,1916,Northern counties,2017
September,1916,Central counties,1847
September,1916,Southern counties,1190
October,1916,Indiana (statewide),4744
October,1916,Northern counties,1819
October,1916,Central counties,1850
October,1916,Southern counties,1075
November,1916,Indiana (statewide),4652
November,1916,Northern counties,1810
November,1916,Central counties,1835
November,1916,Southern counties,1007
December,1916,Indiana (statewide),5078
December,1916,Northern counties,1946
December,1916,Central counties,1978
December,1916,Southern counties,1154
January,1917,Indiana (statewide),5514
January,1917,Northern counties,2098
January,1917,Central counties,2122
January,1917,Southern counties,1294
February,1917,Indiana (statewide),5104
February,1917,Northern counties,1840
February,1917,Central counties,1994
February,1917,Southern counties,1262
March,1917,Indiana (statewide),5509
March,1917,Northern counties,2168
March,1917,Central counties,2063
March,1917,Southern counties,1278
April,1917,Indiana (statewide),4932
April,1917,Northern counties,1866
April,1917,Central counties,1953
April,1917,Southern counties,1113
May,1917,Indiana (statewide),4397
May,1917,Northern counties,1703
May,1917,Central counties,1716
May,1917,Southern counties,978
June,1917,Indiana (statewide),4640
June,1917,Northern counties,1774
June,1917,Central counties,1837
June,1917,Southern counties,1029
July,1917,Indiana (statewide),5362
July,1917,Northern counties,2115
July,1917,Central counties,2122
July,1917,Southern counties,1134
August,1917,Indiana (statewide),5479
August,1917,Northern counties,2123
August,1917,Central counties,2103
August,1917,Southern counties,1253
September,1917,Indiana (statewide),5235
September,1917,Northern counties,2027
September,1917,Central counties,2037
September,1917,Southern counties,1171
October,1917,Indiana (statewide),4957
October,1917,Northern counties,1947
October,1917,Central counties,1962
October,1917,Southern counties,1048
November,1917,Indiana (statewide),4612
November,1917,Northern counties,1853
November,1917,Central counties,1770
November,1917,Southern counties,989
December,1917,Indiana (statewide),4732
December,1917,Northern counties,1821
December,1917,Central counties,1881
December,1917,Southern counties,1030
January,1918,Indiana (statewide),5071
January,1918,Northern counties,2068
January,1918,Central counties,1832
January,1918,Southern counties,1171
February,1918,Indiana (statewide),4930
February,1918,Northern counties,1977
February,1918,Central counties,1873
February,1918,Southern counties,1080
March,1918,Indiana (statewide),5639
March,1918,Northern counties,2211
March,1918,Central counties,2198
March,1918,Southern counties,1230
April,1918,Indiana (statewide),5487
April,1918,Northern counties,2215
April,1918,Central counties,2127
April,1918,Southern counties,1145
May,1918,Indiana (statewide),5136
May,1918,Northern counties,2013
May,1918,Central counties,1989
May,1918,Southern counties,1134
